sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	296976	72.4	296838	290901	70.92	289539	70.59
A11	410960	309465	75.3	309066	302417	73.59	301801	73.44
A12	396582	269691	68	269562	264238	66.63	247788	62.48
A6	654127	472629	72.25	471991	459659	70.27	445979	68.18
A7	485232	261153	53.82	260900	253770	52.3	250082	51.54
A8	529730	381637	72.04	381340	373838	70.57	373388	70.49
A9	647978	481168	74.26	480984	471560	72.77	471232	72.72
daiquiriA1	379514	206560	54.43	206232	199714	52.62	198455	52.29
daiquiriA2	139682	54478	39	54293	53147	38.05	53060	37.99
daiquiriA3	1262168	725913	57.51	724806	627917	49.75	625116	49.53
daiquiriA4	103584	56357	54.41	56208	54920	53.02	54911	53.01
daiquiriA5	98439	60170	61.12	60024	58511	59.44	57869	58.79
