sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	295790	72.11	295656	290219	70.75	288858	70.42
A11	410960	308260	75.01	307850	301529	73.37	300986	73.24
A12	396582	269471	67.95	269337	264088	66.59	247614	62.44
A6	654127	468127	71.57	467684	455304	69.6	441682	67.52
A7	485232	260155	53.61	259907	251478	51.83	248176	51.15
A8	529730	379840	71.7	379547	372072	70.24	371623	70.15
A9	647978	479036	73.93	478851	469452	72.45	468697	72.33
daiquiriA1	379514	204338	53.84	204041	203543	53.63	202290	53.3
daiquiriA2	139682	54107	38.74	53928	52734	37.75	52648	37.69
daiquiriA3	1262168	718480	56.92	717706	715388	56.68	711977	56.41
daiquiriA4	103584	55901	53.97	55748	55586	53.66	55577	53.65
daiquiriA5	98439	59437	60.38	59285	56825	57.73	56264	57.16
