sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	324487	79.11	324121	12431	3.03	12309	3
A11	410960	336724	81.94	336386	907	0.22	905	0.22
A12	396582	294932	74.37	294632	474	0.12	472	0.12
A6	654127	521407	79.71	520940	2225	0.34	2221	0.34
A7	485232	310200	63.93	309536	156028	32.16	155149	31.97
A8	529730	419207	79.14	418931	14319	2.7	14179	2.68
A9	647978	525151	81.04	524919	1173	0.18	1170	0.18
daiquiriA1	379514	256802	67.67	256443	5022	1.32	5005	1.32
daiquiriA2	139682	71829	51.42	71688	25108	17.98	25028	17.92
daiquiriA3	1262168	883988	70.04	883303	11027	0.87	11020	0.87
daiquiriA4	103584	69072	66.68	68901	6452	6.23	6448	6.22
daiquiriA5	98439	74443	75.62	74323	4030	4.09	4029	4.09
