sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	305375	74.45	305252	299343	72.98	297882	72.62
A11	410960	317796	77.33	317435	310606	75.58	309967	75.43
A12	396582	277250	69.91	277111	275742	69.53	258987	65.3
A6	654127	489324	74.81	488702	475767	72.73	461672	70.58
A7	485232	276698	57.02	276400	271430	55.94	267474	55.12
A8	529730	393418	74.27	393125	385460	72.77	384984	72.68
A9	647978	495013	76.39	494820	485262	74.89	484930	74.84
daiquiriA1	379514	219931	57.95	219596	212667	56.04	211351	55.69
daiquiriA2	139682	59016	42.25	58787	57459	41.14	57363	41.07
daiquiriA3	1262168	768502	60.89	767827	665465	52.72	664251	52.63
daiquiriA4	103584	59770	57.7	59611	58230	56.22	58221	56.21
daiquiriA5	98439	64050	65.07	63934	62557	63.55	61869	62.85
