
code	|	name	|	preferred name	|	taxid
1	|	Actinobaculum massiliense	|	 	|	202789
1	|	Actinomyces neuii	|	Winkia neuii	|	33007
1	|	Actinotignum sanguinis	|	 	|	1445614
1	|	Aerococcus urinae	|	 	|	1376
1	|	Anaerococcus octavius	|	 	|	54007
1	|	Atopobium vaginae	|	Fannyhessea vaginae	|	82135
1	|	Bifidobacterium breve	|	 	|	1685
1	|	Bifidobacterium dentium	|	 	|	1689
1	|	Corynebacterium amycolatum	|	 	|	43765
1	|	Corynebacterium aurimucosum	|	 	|	169292
1	|	Corynebacterium coyleae	|	 	|	53374
1	|	Corynebacterium imitans	|	 	|	156978
1	|	Corynebacterium lipophilum	|	 	|	2804918
1	|	Cutibacterium acnes	|	 	|	1747
1	|	Dermabacter hominis	|	 	|	36740
1	|	Dialister micraerophilus	|	 	|	309120
1	|	Enterococcus faecalis	|	 	|	1351
1	|	Escherichia coli	|	 	|	562
1	|	Finegoldia magna	|	 	|	1260
1	|	Gardnerella vaginalis	|	 	|	2702
1	|	Helicobacter canis	|	 	|	29419
1	|	Kocuria rhizophila	|	 	|	72000
1	|	Lactobacillus crispatus	|	 	|	47770
1	|	Lactobacillus gasseri	|	 	|	1596
1	|	Lactobacillus jensenii	|	 	|	109790
1	|	Lactobacillus johnsonii	|	 	|	33959
1	|	Lactobacillus vaginalis	|	Limosilactobacillus vaginalis	|	1633
1	|	Peptoniphilus indolicus	|	 	|	33030
1	|	Peptostreptococcus anaerobius	|	 	|	1261
1	|	Staphylococcus aureus	|	 	|	1280
1	|	Staphylococcus capitis	|	 	|	29388
1	|	Staphylococcus condimenti	|	 	|	70255
1	|	Staphylococcus epidermidis	|	 	|	1282
1	|	Staphylococcus haemolyticus	|	 	|	1283
1	|	Staphylococcus hominis	|	 	|	1290
1	|	Staphylococcus lugdunensis	|	 	|	28035
1	|	Streptococcus anginosus	|	 	|	1328
1	|	Trueperella bernardiae	|	 	|	59561
1	|	Actinomyces urinae	|	 	|	1689268
1	|	Actinotignum timonense	|	 	|	1870995
1	|	Anaerococcus urinomassiliensis	|	 	|	1745712
1	|	Arcanobacterium urinimassiliense	|	 	|	1871014
3	|	Bacteroides transplantocaccae	|	 	|	 
1	|	Corynebacterium kroppenstedtii	|	 	|	161879
3	|	Corynebacterium lascolaense	|	 	|	 
1	|	Corynebacterium mucifaciens	|	 	|	57171
1	|	Corynebacterium phoceense	|	 	|	1686286
1	|	Corynebacterium ureicelerivorans	|	 	|	401472
1	|	Corynebacterium urealyticum	|	 	|	43771
1	|	Corynebacterium urinapleomorphum	|	Corynebacterium urinipleomorphum	|	1852380
1	|	Lachnoclostridium phocaeense	|	 	|	1871021
1	|	Lachnoclostridium urinimassiliense	|	 	|	1852382
1	|	Ndongobacter massiliensis	|	 	|	1871025
1	|	Olsenella urininfantis	|	 	|	1871033
3	|	Pelistega massiliensis	|	 	|	 
1	|	Peptoniphilus urinimassiliensis	|	Aedoeadaptatus urinae	|	1871017
3	|	Streptococcus transplantocaccae	|	 	|	 
1	|	Urinacoccus massiliensis	|	Urinicoccus massiliensis	|	1723382
1	|	Varibaculum massiliense	|	 	|	1852372
1	|	Abiotrophia defectiva	|	 	|	46125
1	|	Achromobacter denitrificans	|	 	|	32002
1	|	Achromobacter insolitus	|	 	|	217204
