Feature ID	Taxon
>MH645801.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinobaculum;D_6__Actinobaculum massiliense
>MH279688.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinobaculum;D_6__Actinobaculum massiliense
>LT558806.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinobaculum;D_6__Actinobaculum massiliense
>FJ711191.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinobaculum;D_6__Actinobaculum massiliense
>PQ788148.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>OR999579.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>OR260435.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>NR_042428.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>MZ452128.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>MZ452127.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>MW566979.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>MW566978.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>MT902936.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Winkia;D_6__Winkia neuii
>LC589209.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>NR_113770.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>NR_044754.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KY083745.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KY083744.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KY083742.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KY083741.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KY608156.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KU207150.1	D_0__Bacteria;D_1__Bacillota;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Aerococcus;D_6__Aerococcus urinae
>KU258256.1	D_0__Bacteria;D_1__Bacillota;D_2__Tissierellia;D_3__Tissierellales;D_4__Peptoniphilaceae;D_5__Anaerococcus;D_6__Anaerococcus octavius
>PQ757280.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Fannyhessea;D_6__Fannyhessea vaginae
>NR_029349.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Fannyhessea;D_6__Fannyhessea vaginae
>MH628052.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Fannyhessea;D_6__Fannyhessea vaginae
>AF325325.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Fannyhessea;D_6__Fannyhessea vaginae
>PQ223183.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
>PP859052.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
>PP429726.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
>PP429725.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
>LC796739.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
>OR363178.1	D_0__Bacteria;D_1__Actinomycetota;D_2__Actinomycetes;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium;D_6__Bifidobacterium breve
