bacterial_species,metagenomic,culture,risk_group,human_pathogenicity,urinary_pathogene,aero_intolerant,phyla,genus
Abiotrophia defectiva,0,1,2,1,Unclassified,0,Firmicutes,Abiotrophia
Achromobacter denitrificans,0,1,2,1,1,0,Proteobacteria,Achromobacter
Achromobacter insolitus,0,1,1,Unclassified,Unclassified,0,Proteobacteria,Achromobacter
Achromobacter xylosoxidans,0,1,2,1,Unclassified,0,Proteobacteria,Achromobacter
Acidaminococcus fermentans,1,0,2,1,1,1,Firmicutes,Acidaminococcus
Acidocella facilis,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Acidocella
Acidovorax delafieldii,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Acidovorax
Acidovorax radicis,1,0,2,Unclassified,Unclassified,0,Proteobacteria,Acidovorax
Acinetobacter baumannii,1,1,2,1,1,0,Proteobacteria,Acinetobacter
Acinetobacter bereziniae,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter calcoaceticus,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter guillouiae,1,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter haemolyticus,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter johnsonii,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter junii,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter lwoffi,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter nosocomialis,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter radioresistens,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter schindleri,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter septicus,0,1,2,1,Unclassified,0,Proteobacteria,Acinetobacter
Acinetobacter ursingii,0,1,2,1,1,0,Proteobacteria,Acinetobacter
Actinobaculum massiliense,1,1,Unclassified,1,1,0,Actinobacteria,Actinotignum
Actinobaculum schaalii,1,1,2,1,1,0,Actinobacteria,Actinotignum
Actinobaculum urinale,1,1,Unclassified,1,1,0,Actinobacteria,Actinotignum
Actinomyces europaeus,1,1,2,1,1,0,Actinobacteria,Actinomyces
Actinomyces graevenitzii,0,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces israelii,0,1,2,1,1,0,Actinobacteria,Actinomyces
Actinomyces meyeri,0,1,2,1,1,1,Actinobacteria,Actinomyces
Actinomyces naeslundii,0,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces neuii,1,1,2,1,1,0,Actinobacteria,Actinomyces
Actinomyces odontolyticus,0,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces oris,0,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces radingae,1,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces turicensis,1,1,2,1,1,0,Actinobacteria,Actinomyces
Actinomyces urinae,0,1,2,Unclassified,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces urogenitalis,0,1,2,1,Unclassified,0,Actinobacteria,Actinomyces
Actinomyces viscosus,0,1,2,Unclassified,Unclassified,0,Actinobacteria,Actinomyces
Actinotignum timonense,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Actinotignum
Advenella mimigardefordensis,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Advenella
Aerococcus sanguinicola,1,1,Unclassified,1,1,0,Firmicutes,Aerococcus
Aerococcus christensenii,1,0,2,Unclassified,Unclassified,0,Firmicutes,Aerococcus
Aerococcus urinae,1,1,2,1,1,0,Firmicutes,Aerococcus
Aerococcus urinaehominis,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Aerococcus
Aerococcus viridans,0,1,2,1,1,0,Firmicutes,Aerococcus
Aeromonas caviae,0,1,2,1,1,0,Proteobacteria,Aeromonas
Aeromonas hydrophila,0,1,2,1,1,0,Proteobacteria,Aeromonas
Aeromonas popoffii,0,1,Unclassified,1,1,0,Proteobacteria,Aeromonas
Aeromonas salmonicida,1,0,2,1,Unclassified,0,Proteobacteria,Aeromonas
Aeromonas trota,0,1,2,1,Unclassified,0,Proteobacteria,Aeromonas
Aeromonas veronii,1,1,2,1,Unclassified,0,Proteobacteria,Aeromonas
Aggregatibacter actinomycetemcomitans,0,1,Unclassified,1,1,0,Proteobacteria,Aggregatibacter
Akkermansia muciniphila,1,0,1,1,Unclassified,0,Verrucomicrobia,Akkermansia
Alcaligenes faecalis,0,1,2,1,1,0,Proteobacteria,Alcaligenes
Alistipes finegoldii,1,0,1,1,Unclassified,1,Bacteroidetes,Alistipes
Alistipes onderdonkii,0,1,Unclassified,Unclassified,Unclassified,1,Bacteroidetes,Alistipes
Alloscardovia omnicolens,1,1,2,1,1,0,Actinobacteria,Alloscardovia
Anaerococcus hydrogenalis,1,0,1,Unclassified,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus lactolyticus,1,1,Unclassified,Unclassified,1,1,Firmicutes,Anaerococcus
Anaerococcus murdochii,1,0,Unclassified,1,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus obesiensis,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus octavius,1,0,1,1,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus prevotii,1,0,2,1,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus provenciensis,1,0,Unclassified,1,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus senegalensis,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus tetradius,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus urinomassiliensis,0,1,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerococcus
Anaerococcus vaginalis,1,0,2,Unclassified,1,1,Firmicutes,Anaerococcus
Anaerosphaera aminiphila,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerosphaera
Anaerostipes hadrus,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Anaerostipes
Anaerotruncus colihominis,1,0,1,1,Unclassified,1,Firmicutes,Anaerotruncus
Anaplasma phagocytophilum,1,0,1,1,Unclassified,0,Proteobacteria,Anaplasma
Arcanobacterium haemolyticum,0,1,2,1,1,0,Actinobacteria,Arcanobacterium
Arcanobacterium hippocoleae,1,0,1,Unclassified,Unclassified,0,Actinobacteria,Arcanobacterium
Arcanobacterium urinimassiliense,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Arcanobacterium
Arcobacter cryaerophilus,1,0,2,1,Unclassified,0,Proteobacteria,Arcobacter
Arthrobacter albus,0,1,Unclassified,1,Unclassified,0,Actinobacteria,Arthrobacter
Arthrobacter aurescens,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Arthrobacter
Arthrobacter creatinolyticus,0,1,2,1,1,0,Actinobacteria,Arthrobacter
Arthrobacter cumminsii,1,1,2,Unclassified,Unclassified,0,Actinobacteria,Arthrobacter
Arthrobacter protophormiae,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Arthrobacter
Atopobium minutum,0,1,2,Unclassified,Unclassified,0,Actinobacteria,Atopobium
Atopobium parvulum,1,0,2,1,Unclassified,0,Actinobacteria,Atopobium
Atopobium vaginae,1,1,2,1,Unclassified,0,Actinobacteria,Atopobium
Bacillus cereus,0,1,2,1,1,0,Firmicutes,Bacillus
Bacillus licheniformis,0,1,1,1,Unclassified,0,Firmicutes,Bacillus
Bacillus megaterium,1,0,1,Unclassified,Unclassified,0,Firmicutes,Bacillus
Bacillus subtilis,0,1,Unclassified,1,Unclassified,0,Firmicutes,Bacillus
Bacillus thermoamylovorans,1,0,1,Unclassified,Unclassified,0,Firmicutes,Bacillus
Bacteroides coagulans,1,0,2,Unclassified,Unclassified,1,Bacteroidetes,Bacteroides
Bacteroides distasonis,0,1,2,1,1,1,Bacteroidetes,Bacteroides
Bacteroides fragilis,0,1,2,1,1,1,Bacteroidetes,Bacteroides
Bacteroides melaninogenicus,0,1,Unclassified,1,1,1,Bacteroidetes,Bacteroides
Bacteroides thetaiotaomicron,1,1,2,1,1,1,Bacteroidetes,Bacteroides
Bacteroides ureolyticus,1,0,2,1,1,1,Bacteroidetes,Bacteroides
Bacteroides vulgatus,1,1,Unclassified,1,1,1,Bacteroidetes,Bacteroides
Bartonella henselae,1,0,2,1,1,1,Proteobacteria,Bartonella
Bifidobacterium adolescentis,0,1,Unclassified,1,1,1,Actinobacteria,Bifidobacterium
Bifidobacterium bifidum,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Bifidobacterium
Bifidobacterium breve,0,1,1,1,Unclassified,0,Actinobacteria,Bifidobacterium
Bifidobacterium dentium,0,1,2,1,Unclassified,1,Actinobacteria,Bifidobacterium
Bifidobacterium longum,0,1,1,1,Unclassified,0,Actinobacteria,Bifidobacterium
Bifidobacterium scardovii,0,1,1,1,1,0,Actinobacteria,Bifidobacterium
Bifidobacterium subtile,0,1,1,1,Unclassified,1,Actinobacteria,Bifidobacterium
Bilophila wadsworthia,1,0,1,1,Unclassified,1,Proteobacteria,Bilophila
Blautia hansenii,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Blautia
Blautia obeum,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Blautia
Borrelia afzeli,1,0,2,1,Unclassified,0,Spirochaetes,Borrelia
Borrelia burgdorferi,1,0,2,1,Unclassified,0,Spirochaetes,Borrelia
Brevibacillus agri,0,1,Unclassified,Unclassified,1,0,Firmicutes,Brevibacter
Brevibacillus brevis,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Brevibacter
Brevibacterium ravenspurgense,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Brevibacterium
Brevundimonas diminuta,0,1,2,1,1,0,Proteobacteria,Brevumdimonas
Brevundimonas subvibrioides,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Brevundimonas
Brevundimonas vesicularis,0,1,Unclassified,1,1,0,Proteobacteria,Brevumdimonas
Brucella abortus,0,1,3,1,1,0,Proteobacteria,Brucella
Brucella melitensis,0,1,3,1,1,0,Proteobacteria,Brucella
Budvicia aquatica,0,1,Unclassified,1,1,0,Proteobacteria,Budvicia
Burkholderia cepacia,0,1,2,1,Unclassified,0,Proteobacteria,Burkholderia
Burkholderia pseudomallei,0,1,3,1,1,0,Proteobacteria,Burkholderia
Buttiauxella gaviniae,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Buttiauxella
Campylobacter coli,0,1,2,1,1,0,Proteobacteria,Campylobacter
Campylobacter hominis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Campylobacter
Campylobacter jejuni,0,1,2,1,1,0,Proteobacteria,Campylobacter
Campylobacter lari,0,1,2,1,1,0,Proteobacteria,Campylobacter
Campylobacter urealyticus,1,1,2,Unclassified,1,0,Proteobacteria,Campylobacter
