Species,Urinary Repertoire ?,Family,Phylum
Actinomyces urinae,0,Actinomycetaceae,ACTINOBACTERIA
Actinotignum timonense,0,Actinomycetaceae,ACTINOBACTERIA
Anaerococcus urinomassiliense,0,Peptoniphilaceae,FIRMICUTES
Arcanobacterium urinimassiliense,0,Actinomycetaceae,ACTINOBACTERIA
Bacteroides transplantocaccae,0,Bacteroidaceae,BACTEROIDETES
Corynebacterium kroppenstedtii,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium lascolaense,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium mucifaciens,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium phoceense,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium ureicelerivorans,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium urinale,0,Coriobacteriaceae,ACTINOBACTERIA
Corynebacterium urinapleomorphum,0,Coriobacteriaceae,ACTINOBACTERIA
Lachnoclostridium phocaeense,0,Lachnospiraceae,FIRMICUTES
Lachnoclostridium urinomassiliense,0,Lachnospiraceae,FIRMICUTES
Ndongobacter massiliensis,0,Unclassified,FIRMICUTES
Olsenella urininfantis,0,Atopobiaceae,ACTINOBACTERIA
Pelistega massiliensis,0,Alcaligenaceae,PROTEOBACTERIA
Peptoniphilus urinimassiliensis,0,Peptoniphilaceae,FIRMICUTES
Streptococcus transplantocaccae,0,Streptococcaceae,FIRMICUTES
Urinacoccus massiliensis,0,Peptoniphilaceae,FIRMICUTES
Varibaculum massiliense,0,Actinomycetaceae,ACTINOBACTERIA
